"site","scale","spp","nbLL","pLL","nbZ","nbPar.k","nbPar.mu","kl","perm.nbLL","perm.pLL","perm.nbZ","perm.nbPar.k","perm.nbPar.mu","perm.kl"
"BCI",31250,"ACACME",-27.3415461348626,-38.2393289490756,70.5074947765466,0.15972894482091,1.375,0.581634944370762,-22.372160552571,-22.3309548290999,50.0164690439246,100.000411609296,1.37500282041768,0.000905048147382477
"BCI",31250,"ACALDI",-98.1933984480279,-112.896647892891,1482.22259605724,0.128505477847447,46.625,23.8997075193369,-58.79724761343,-53.3016614993732,57660607.9402268,14.4573643410853,46.625,2.63815306065176e-07
"BCI",31250,"ACALMA",-36.7668978524171,-65.6889848733059,157.380444605262,0.153181461115475,3.25,1.69610817401911,-29.4014754562542,-29.3824854157279,49.7306602800434,346.094360741847,3.25000288599362,0.00133406003270784
"BCI",31250,"ADE1TR",-61.4684746316575,-73.434617181886,534.942166336844,0.202125640539002,8.875,4.15086487158339,-37.5956390050932,-37.5223651635355,1232.84122508084,332.389962650021,8.87500296040773,0.000140600401709163
"BCI",31250,"AEGIPA",-30.0788371959994,-29.7910944304022,52.5412865728164,7.17391304347826,2.75,0.0600707863082113,-29.6731986444178,-29.6369437505749,49.6797079603806,100.000374624976,2.75000070472694,0.00424002285075217
"BCI",31250,"ALCHCO",-73.1927240498988,-70.1325463504719,749.615397674901,0.205491852745926,14.1875,6.32737729968743,-42.8307837801994,-42.7744678781651,63080.5423189752,302.916866859834,14.1875000289963,3.87132945559108e-06
"BCI",31250,"ALCHLA",-6.16013256285162,-6.15888308335967,0.0379983453440184,100.00000000016,0.125000004369228,-6.01492977459062e-05,-6.16013256285162,-6.15888308335967,0.0379983453440184,100.00000000016,0.125000004369228,-6.01492977459062e-05
"BCI",31250,"ALIBED",-82.4986442034193,-86.2099762390801,961.253432587403,0.180393941363843,23.125,10.5511410598658,-45.67963605343,-45.4998963166942,77596654.8779,328.388663254523,23.1249968824372,3.17671033849883e-09
"BCI",31250,"ALLOPS",-41.6744426572123,-39.444627425309,119.843581206296,2.89325842696629,6.4375,0.229718372789276,-39.1324942330718,-38.1941346053482,151.576365414683,7.2196261682243,6.4375,0.0592913245251608
"BCI",31250,"ALSEBL",-162.239557224844,-451.761508370698,6378.3011596202,0.0198206107767819,484.625,404.198533968208,-113.086586513324,-77.7075993015795,10617.0139967157,1.22785718810042,484.625,0.682129986617638
"BCI",31250,"AMAICO",-18.3528427652191,-52.0826103039852,27.9666065159069,0.0738916256157635,1.375,0.824606070868393,-24.8224570061375,-24.9336445145442,88.9249374079312,4.02439024390244,1.375,0.0269404154511442
"BCI",31250,"ANACEX",-26.3904368627302,-26.5550377556813,84.0221270419537,3.60576923076923,1.5625,0.0437458062407999,-23.8179388712199,-23.7824490334415,47.0545959558458,100.000356622488,1.56250218401652,0.00144523879368691
"BCI",31250,"ANAXPA",-13.577411925146,-2205.69303067603,197.627822866291,0.00126103404791929,49.625,49.0026929395262,-75.5034694985758,-57.6874650576979,1031.94016232841,1.43875332205847,49.625,0.598540355872758
"BCI",31250,"ANDIIN",-69.3850793225363,-64.629517863454,432.651935826254,0.412953060011884,17.375,4.37316295336565,-56.1567627582433,-47.4079388116254,427.957668273282,2.22518676627535,17.375,0.260311594845472
"BCI",31250,"ANNOAC",-91.5764869905946,-99.2020802954098,1307.42416963869,0.124682936861589,30.3125,16.437447748607,-47.9309518931609,-47.7112360793215,28931787048.9036,324.204500962433,30.3124995276909,9.32214377470999e-12
