"site","scale","z2","perm.z2","z2diff","z2.ci1","z2.ci2","perm.z2.ci1","perm.z2.ci2","z2diff.ci1","z2diff.ci2"
"BCI",30.517578125,0.0104123790460563,0.00381681602911634,0.00659556301693996,2.05562128151222e-06,0.066222919213952,1.98745504600612e-06,0.0214614759491271,-0.0206933648256709,0.0660735838037891
"BCI",61.03515625,0.0327354885994777,0.0153437156037576,0.0173917729957201,1.14992121275987e-05,0.199772265639444,2.33765641811307e-05,0.0793256572797926,-0.079037972873165,0.175593792171612
"BCI",122.0703125,0.113667866604253,0.111430536708146,0.00223732989610695,0.000104185390460502,0.48119195390765,0.00109256165478175,0.381533180667815,-0.306403043959199,0.399588023406334
"BCI",244.140625,0.359534484043989,0.219326146216686,0.140208337827303,0.00120547581609873,1.41846421622817,0.0202429412879823,0.528837978074438,-0.352196825225556,1.16979463583248
"BCI",488.28125,0.616825844454164,0.492626898704915,0.124198945749249,0.00475112184113276,2.69663081550275,0.109207598722411,1.10324104023577,-0.957705320270498,2.14054114613238
"BCI",976.5625,1.11360543812263,0.826547584970239,0.287057853152394,0.0499813881645425,3.08556078561494,0.200667804664479,1.79842380463654,-1.4265373133905,2.12245087837559
"BCI",1953.125,1.31743194131271,1.24401244351487,0.0734194977978413,0.0109698933004583,3.86045432619295,0.324123729004662,2.43523712298738,-1.83429508351872,2.48746184779752
"BCI",3906.25,1.82939022424096,1.33169865975721,0.497691564483751,0.101774302780752,5.36274722466989,0.244145817061,2.57296658408397,-2.34793547216372,3.75249722246993
"BCI",7812.5,1.13229044272163,1.00798690815921,0.124303534562414,0.0322296861330192,4.14364377150118,0.261111219112523,2.0636337633667,-1.68233474440121,3.10574051943122
"BCI",15625,0.477163555818434,0.418822176050355,0.0583413797680788,0.00143859237399463,2.30447710917937,0.0237158541834654,1.23322337351057,-1.06962968661052,1.97617544951245
"BCI",31250,0.195704082260014,0.0790729548267888,0.116631127433225,0.000786383733112168,0.834745038606743,5.22029202152498e-05,0.38744869733341,-0.337960432049987,0.723048687410616
"BCI",62500,0.715501993420988,0.626118855529099,0.089383137891889,0.0595152112807634,1.65388275444846,0.12604957915339,1.57700109013493,-0.307593084131002,0.413467673111208
"BCI",125000,2.08979375922959,1.90608161475914,0.183712144470457,1.03636844186252,3.40678918715185,1.07616127950564,2.39983970452996,-1.28536700298233,1.41951490777029
"BCI",250000,3.65804288380647,3.8414404709996,-0.183397587193134,3.39404171605075,3.92204405156219,3.53160623031791,4.1512747116813,-0.757232995630547,0.390437821244279
"BCI",5e+05,7.63821744068358,7.63821744068358,0,7.63821744068358,7.63821744068358,7.63821744068358,7.63821744068358,0,0
"PASO",30.517578125,0.0025671372713549,0.000510270147105171,0.00205686712424973,7.12768918793731e-06,0.0154490006087103,7.12768918793731e-06,0.00351930755782194,-0.00209752953007563,0.0154166372996634
"PASO",61.03515625,0.0118517109691841,0.000956531640471909,0.0108951793287122,1.85930859954997e-06,0.0971365735822432,6.92146649356756e-06,0.00543225445243315,-0.00486629569906094,0.0955405609337729
"PASO",122.0703125,0.0437064702429685,0.00562945236802411,0.0380770178749444,0.000209925839690456,0.235649300155405,2.63156552064199e-05,0.0452880909481104,-0.00383385609487154,0.225110638474691
"PASO",244.140625,0.0834861479903509,0.0180793353648686,0.0654068126254823,5.4605478224683e-05,0.57088713557891,0.000123768982010653,0.0895912260326729,-0.0318061430815677,0.56699470527977
"PASO",488.28125,0.282118756674247,0.05058461935378,0.231534137320467,0.00145651534731346,1.83473801014554,0.000885970193508513,0.153694164578866,-0.127689206038761,1.83162367615329
"PASO",976.5625,0.346588841882292,0.0995904796586645,0.246998362223628,0.014430083617939,2.21324280274845,0.000412825130547231,0.304504121493244,-0.281231448197835,2.07993419106218
"PASO",1953.125,0.486281650882465,0.0758577186919169,0.410423932190548,0.00124063799979397,1.98809849500969,0.00038005590065111,0.344474875276021,-0.149223878596974,1.87871436884309
"PASO",3906.25,0.247907455213896,0.203218443258527,0.0446890119553685,0.000356582694205688,1.27491723486465,2.97811816342373e-05,0.797036146619645,-0.564158688691673,0.968433989489526
"PASO",7812.5,0.424781584636927,1.40872621459735,-0.983944629960419,0.00786013332422597,2.05310838048213,0.231976412101233,2.55424855283768,-2.27866397156042,0.82778095072436
"PASO",15625,2.13416833017323,5.39657310765143,-3.26240477747819,0.0373478890806719,6.61212115442162,2.36068020786572,8.52588572695232,-8.46863261782037,0.711270501841753
"PASO",31250,7.54474783013737,13.4204038925417,-5.87565606240429,0.795894813405782,19.1662264221918,8.8758388439593,17.1825435115752,-15.0112022700427,5.51614051115344
"PASO",62500,19.0246191731898,27.0312288150734,-8.00660964188359,6.12543700000199,36.0010403649513,23.8159109074462,34.096872266113,-27.8292655172113,9.18080205917267
"PASO",125000,37.4538806205159,48.597891142224,-11.1440105217081,21.4172963482921,55.5401372543755,44.686704817823,54.2626940116218,-25.0915563140219,1.39387546664305
"PASO",250000,68.1856276373035,78.5901688907591,-10.4045412534556,67.4553555892892,68.9158996853178,78.0936790730288,79.0866587084894,-10.6383234837396,-10.1707590231716
"PASO",5e+05,110.607907278507,110.607907278507,0,110.607907278507,110.607907278507,110.607907278507,110.607907278507,0,0
