"site","scale","llF","llST","perm.llF","perm.llST"
"BCI",7812.5,-530.458164552519,-600.614972253318,-640.493559336637,-628.450684376632
"BCI",7812.5,-526.367343358879,-549.701266653423,-600.976494014284,-591.845598995652
"BCI",7812.5,-550.57712407241,-548.602122875509,-612.545754541563,-599.441218777923
"BCI",7812.5,-517.438905754101,-548.528351749018,-547.235091607547,-535.296055884601
"BCI",7812.5,-527.586754893049,-548.821933147846,-591.221237388628,-581.478149529614
"BCI",7812.5,-547.688492762567,-783.830107600741,-645.49929821144,-633.476010535958
"BCI",7812.5,-612.860450258817,-632.007887853956,-646.138139070075,-633.26121988192
"BCI",7812.5,-536.909084996595,-558.307204511565,-600.5883743333,-589.591790564316
"BCI",7812.5,-590.206542490828,-719.041121926483,-670.049951697947,-658.487394979804
"BCI",7812.5,-535.039383714185,-529.479010316225,-570.728986734011,-562.44143249363
"BCI",7812.5,-570.094045122885,-566.649582091601,-656.619026355748,-642.129500694036
"BCI",7812.5,-529.621739707233,-579.81740484632,-637.925226515881,-629.109201328382
"BCI",7812.5,-571.037441333777,-609.421053718257,-637.646425555235,-629.880006704108
"BCI",7812.5,-548.022603419881,-569.732537653366,-635.731879100004,-623.130037521399
"BCI",7812.5,-493.440292690183,-511.398478746885,-612.83748666962,-601.651798702054
"BCI",7812.5,-501.991116121822,-521.710656621627,-588.042115464015,-581.908254667464
"BCI",7812.5,-552.520349962291,-583.15459056372,-597.019105888797,-586.694701494461
"BCI",7812.5,-618.976489230656,-642.638914164642,-592.49409077399,-580.623558244113
"BCI",3906.25,-378.125691023708,-396.66427587801,-453.401851842137,-443.982985981063
"BCI",3906.25,-398.702920729673,-417.078489077657,-460.347376090797,-450.037479070703
"BCI",3906.25,-467.022445487743,-485.657997248671,-480.956999134762,-475.239612369645
"BCI",3906.25,-458.690717674274,-468.029139540172,-427.995518858522,-417.298404675635
"BCI",3906.25,-446.240735203714,-463.21833267098,-466.640759834009,-454.893309306784
"BCI",3906.25,-428.047534753007,-442.798018311481,-425.814112201687,-419.425368554678
"BCI",3906.25,-425.664668462729,-432.520672950474,-469.183989320735,-458.559232367294
"BCI",3906.25,-436.238057574721,-448.288589996614,-473.120771907057,-469.723342063537
"BCI",3906.25,-433.351020682407,-435.199145442694,-453.434917380717,-444.775262516045
"BCI",3906.25,-438.330382394757,-452.734246547427,-442.345568524978,-437.595173404349
"BCI",3906.25,-381.72228157373,-390.975886953051,-420.316503479343,-410.779441701336
"BCI",3906.25,-360.139700649254,-370.674585883006,-409.907702216316,-399.717660030804
"BCI",3906.25,-378.544477797809,-388.557736805841,-395.520317242249,-386.568930366601
"BCI",3906.25,-403.477206564636,-404.384632829351,-489.367189773867,-480.474856969734
"BCI",3906.25,-351.356747840476,-354.376541348915,-406.926604557253,-400.892004960668
"BCI",3906.25,-317.443433743474,-333.039590638073,-460.389157394185,-453.089343759866
"BCI",3906.25,-377.550081753211,-384.487269590638,-393.228110845947,-383.60371177455
"BCI",3906.25,-383.208654755217,-393.326557763748,-435.898852547378,-426.274187418637
"BCI",3906.25,-394.679777059944,-397.775041789721,-451.295133311894,-443.021798808077
"BCI",3906.25,-410.296665317688,-417.814873201887,-454.95373570694,-447.17402400185
"BCI",3906.25,-429.136797949984,-448.199757019023,-476.532801655115,-465.516740388458
"BCI",3906.25,-360.800292037311,-373.711191437406,-423.54305084846,-413.48197059567
"BCI",3906.25,-394.472104372844,-384.598188044547,-462.989572458813,-456.415895103836
"BCI",3906.25,-382.748577527445,-383.39410392455,-425.896293055101,-414.745980612436
"BCI",3906.25,-412.518181191647,-435.621922234872,-481.232220030984,-469.692389897816
"BCI",3906.25,-396.502831768341,-407.442795749715,-418.978330024167,-412.203806351125
"BCI",3906.25,-443.23212180778,-438.965407907345,-461.599444570279,-453.274109816771
"BCI",3906.25,-417.019339243244,-412.632950154031,-427.614560816041,-417.619666509387
"BCI",3906.25,-405.887383263597,-405.913333770546,-471.78496649023,-460.743096436865
"BCI",3906.25,-368.190793213276,-376.729022910848,-463.782398418307,-451.650148428049
"BCI",3906.25,-398.141068907109,-403.550816633133,-443.561723368979,-432.79488009847
"BCI",3906.25,-324.085639853905,-325.406309106793,-417.641575950203,-408.672210234877
"BCI",1953.125,-276.336008916017,-274.189145879929,-319.645480077912,-309.437756135046
"BCI",1953.125,-242.862119510412,-250.092727821079,-297.870864135617,-288.496825929931
"BCI",1953.125,-299.651490025155,-295.152075783434,-331.208768673099,-321.903440498164
"BCI",1953.125,-221.150959384295,-227.672305857926,-272.035927925104,-263.234091708325
"BCI",1953.125,-267.339653110884,-273.555534297474,-303.046123377535,-296.566406173217
"BCI",1953.125,-279.230909426881,-296.610706921105,-317.512989943476,-313.302778894339
"BCI",1953.125,-227.995452303966,-235.931370587347,-268.666133929373,-258.940946267291
"BCI",1953.125,-292.488752005228,-289.029063543825,-307.211158506851,-300.89372459753
"BCI",1953.125,-282.957103543951,-289.082019856233,-317.319642752419,-310.378897290851
"BCI",1953.125,-269.162078280676,-275.17570913074,-311.39075780163,-302.354691304248
"BCI",1953.125,-279.579173179658,-290.950423345958,-309.571028734392,-301.858381511975
"BCI",1953.125,-253.058242438566,-255.780254114019,-323.203704611097,-314.520394407157
"BCI",1953.125,-283.35654053387,-281.726161807224,-359.910813573309,-351.557516492562
"BCI",1953.125,-265.765825735776,-316.874339991255,-336.24151862693,-326.389235974982
"BCI",1953.125,-255.435638099642,-253.820891444637,-272.991515250841,-264.414031502064
"BCI",1953.125,-252.809670412032,-253.4155779785,-309.619484173009,-299.043873072292
"BCI",1953.125,-271.476728775232,-273.33427388632,-292.815569112834,-284.483480180836
"BCI",1953.125,-246.746546068103,-269.888201886922,-308.518007202047,-300.72104675982
"BCI",1953.125,-305.309479675447,-309.732288016412,-312.533049304446,-307.923104132038
"BCI",1953.125,-266.237778268286,-269.506478551914,-319.387533355565,-310.355395076539
"BCI",1953.125,-251.183926060405,-275.991676062788,-308.259428988833,-298.484547543658
"BCI",1953.125,-275.109090097302,-276.853260960882,-329.415259013854,-320.743261985584
"BCI",1953.125,-283.414253592869,-299.535659299273,-332.421650644575,-326.355548669331
"BCI",1953.125,-299.841780943185,-297.978102341459,-326.106010590123,-319.558838469193
"BCI",1953.125,-238.491861525851,-243.426229084605,-294.097853111483,-284.889059169698
"BCI",1953.125,-273.779103874493,-279.090198137337,-326.879969497789,-316.886957137597
"BCI",1953.125,-278.09805680605,-275.035213580797,-305.210534521076,-297.542581094375
"BCI",1953.125,-284.453555503894,-283.080969804687,-293.246904829703,-281.761991823914
"BCI",1953.125,-267.970228252851,-266.977145133978,-269.514391256195,-263.804286452799
"BCI",1953.125,-287.220689192294,-282.505970034682,-314.613212831662,-306.76400558791
"BCI",1953.125,-283.142187013345,-276.462820059621,-312.076873782204,-304.611812615334
"BCI",1953.125,-269.850615918554,-353.746503829506,-317.256839417816,-308.742734021166
"BCI",976.5625,-209.348046295785,-210.858726308661,-222.241063954517,-216.41240902967
"BCI",976.5625,-166.178727304747,-176.545905614563,-184.066750332782,-178.73713491205
"BCI",976.5625,-190.179979991317,-189.463485267069,-202.780288195311,-196.485599879596
"BCI",976.5625,-253.824715442192,-256.701366622726,-236.799560003421,-229.056091192492
"BCI",976.5625,-182.045801337059,-174.118004262196,-188.852752989088,-181.849991927392
"BCI",976.5625,-153.523920680663,-153.344458032582,-177.187348465649,-172.137151764362
"BCI",976.5625,-177.597282454404,-176.492032440586,-224.042357063307,-217.235477270671
"BCI",976.5625,-186.081535148537,-216.366875008296,-231.033971011429,-222.190649172501
"BCI",976.5625,-150.27102220812,-161.218676120191,-182.224113837559,-175.681659902556
"BCI",976.5625,-165.084337583447,-159.918015766206,-208.298893932129,-203.276777651352
"BCI",976.5625,-191.348505473647,-190.196248217655,-197.69285264094,-190.652803839707
"BCI",976.5625,-186.383053298057,-189.452031530992,-196.814130015174,-190.641052148293
"BCI",976.5625,-138.541219633797,-136.912540712794,-155.087957485261,-147.368108945988
"BCI",976.5625,-196.493763414854,-190.842473321826,-219.672468366996,-211.625515119568
"BCI",976.5625,-199.916849136326,-200.527001820338,-225.603633232944,-217.445837247836
"BCI",976.5625,-150.161634489447,-151.943073806271,-177.666291286485,-172.186625469327
"BCI",976.5625,-184.247343858174,-183.350228206982,-225.755769045609,-220.867462480331
"BCI",976.5625,-158.679328037474,-156.277927504685,-203.067758046502,-199.029645888804
"BCI",976.5625,-190.21723434946,-184.950655631931,-219.032904335727,-214.552550056122
"BCI",976.5625,-174.302802167273,-180.604190879951,-195.450529134014,-190.269460037004
"BCI",976.5625,-159.654336875618,-153.623560610189,-173.729127522579,-170.845819008128
"BCI",976.5625,-210.139757443532,-209.791575868237,-214.466488455117,-209.623043229633
"BCI",976.5625,-175.618779521965,-170.028502081737,-174.913495149581,-171.113183651786
"BCI",976.5625,-206.345122322925,-208.008600198525,-211.11727785788,-204.913124039095
"BCI",976.5625,-168.746697783899,-224.911024151683,-201.709616428087,-196.264141676004
"BCI",976.5625,-177.272856416532,-172.36777035617,-189.782224988129,-185.662015652383
"BCI",976.5625,-188.87673122177,-182.550283060889,-215.210494349131,-209.604924867253
"BCI",976.5625,-188.887796951687,-194.390480379319,-192.834557392747,-189.488811897512
"BCI",976.5625,-151.460844537533,-155.316807338849,-179.138229504112,-173.025626156346
"BCI",976.5625,-189.810731232648,-188.81744747941,-226.662857317754,-220.351774981829
"BCI",976.5625,-201.733629729857,-235.267786909977,-210.265520420179,-202.007592211305
"BCI",976.5625,-152.652123695304,-151.711671193612,-162.710855947825,-160.006366010911
"BCI",488.28125,-117.643137876114,-116.973082902069,-148.710878721581,-142.446098155791
"BCI",488.28125,-104.678753003127,-98.3139899703758,-124.792460465906,-120.888549671211
"BCI",488.28125,-103.674100101327,-129.588919581464,-126.686944935341,-120.582996199483
"BCI",488.28125,-120.681642398242,-120.789835168639,-127.288848866075,-124.190882633874
"BCI",488.28125,-139.341620909589,-141.364570799085,-147.70760320275,-143.165071918664
"BCI",488.28125,-113.246914680258,-111.621878040839,-120.92797168604,-117.936057088555
"BCI",488.28125,-115.174727451521,-115.568619842509,-127.903351030875,-124.407974476369
"BCI",488.28125,-108.643704729239,-110.394873535895,-120.718320136196,-113.063414762317
"BCI",488.28125,-85.0308275030273,-85.6917367830278,-88.6684378527481,-82.2553973386071
"BCI",488.28125,-100.767339847021,-113.398086752078,-111.571208408953,-106.821617961946
"BCI",488.28125,-119.196524028496,-116.571063175801,-134.449814038789,-126.963433629768
"BCI",488.28125,-103.912605960047,-106.269426439756,-104.8140935636,-101.689856789212
"BCI",488.28125,-92.4273707743406,-94.2614873069646,-114.162122189662,-112.067479392041
"BCI",488.28125,-106.87501702925,-102.388976378508,-134.578110266774,-127.468582318647
"BCI",488.28125,-87.6317662373048,-90.014558599167,-97.1886378652976,-98.7592783802029
"BCI",488.28125,-107.324223986007,-101.876915528275,-121.753027796841,-115.467247751594
"BCI",488.28125,-106.35134418716,-108.515846882582,-115.188524560055,-112.573556831105
"BCI",488.28125,-93.1971372178328,-123.546749625559,-111.929109060749,-109.047184332514
"BCI",488.28125,-101.096931759838,-107.299346335744,-117.958224573098,-113.318945502048
"BCI",488.28125,-114.309166161442,-115.441810788976,-119.247689961699,-115.957649896448
"BCI",488.28125,-92.6749740629811,-91.8257425128684,-114.517336753914,-107.619146386492
"BCI",488.28125,-98.5711917796623,-113.625342419689,-106.642544936813,-102.345324716581
"BCI",488.28125,-109.756985109862,-106.134212065826,-114.906395035864,-110.660274036475
"BCI",488.28125,-93.0630726088883,-98.6980689515963,-99.7773715952434,-98.18186437166
"BCI",488.28125,-114.581990773868,-118.053761456795,-129.22545081789,-124.853240375755
"BCI",488.28125,-88.8029904938363,-89.4606866213596,-85.5666374615066,-82.5885650397059
"BCI",488.28125,-116.220542574128,-124.930965866921,-123.525337928072,-120.724032896058
"BCI",488.28125,-139.668138562207,-139.910402516088,-160.861739446687,-157.559061056582
"BCI",488.28125,-131.124292226133,-136.395022488291,-131.039406203084,-125.535157705767
"BCI",488.28125,-88.288979914465,-94.3204450323111,-87.3242582376751,-83.2091168923305
"BCI",488.28125,-106.197640648214,-102.80723751031,-125.854959383486,-123.502212488362
"BCI",488.28125,-98.1582383745648,-99.3621723783262,-106.938893623349,-106.081760285829
"BCI",244.140625,-49.5437618923863,-51.0688922878045,-50.2369913268049,-46.9813722506743
"BCI",244.140625,-52.9184600567735,-52.4395334475624,-53.2657420228196,-53.5028301847451
"BCI",244.140625,-70.2427938547921,-66.6500052385142,-82.1912896145757,-76.5712223496565
"BCI",244.140625,-71.5785957264599,-71.6488339984438,-78.9139034938517,-74.2939349391315
"BCI",244.140625,-64.638278292692,-67.4882724071206,-62.5157402663456,-58.9302124491487
"BCI",244.140625,-56.8407297875599,-65.8374259379234,-61.4610180969987,-57.2237270311123
"BCI",244.140625,-66.2645560242753,-68.6205171632997,-59.6790425138949,-57.3874205420829
"BCI",244.140625,-78.7943864665996,-76.5939473457686,-79.5384125489312,-76.4585252960959
"BCI",244.140625,-67.5689967674177,-72.0609538847264,-64.4912911904042,-61.4532443029027
"BCI",244.140625,-52.4193065108916,-51.6298575999546,-56.4052342733703,-54.9146568762656
"BCI",244.140625,-60.5550557397638,-59.8502001424741,-57.5407770513236,-51.2216024315133
"BCI",244.140625,-59.5313476473338,-58.255936445593,-57.7997499039004,-56.0518318581763
"BCI",244.140625,-79.2935723060044,-80.3436484755987,-77.9663743926244,-75.192881263747
"BCI",244.140625,-49.5603021061007,-51.547497556182,-51.7024851280546,-53.5193145459054
"BCI",244.140625,-56.4629994200386,-57.4678521163524,-55.7862698076131,-54.9536556727772
"BCI",244.140625,-68.7317461322993,-69.7680620919449,-78.3678835564181,-75.1450409561987
"BCI",244.140625,-65.0054928780434,-66.6491010411058,-77.2153177470645,-76.3402315443746
"BCI",244.140625,-65.8434675360732,-68.9329818223824,-62.749462084236,-61.7040398821083
"BCI",244.140625,-64.5616954010103,-67.2815791232898,-71.3145725416717,-65.0106928768281
"BCI",244.140625,-57.1434912669489,-56.4171323169295,-53.0438507943659,-49.7867155193991
"BCI",244.140625,-57.6547873979055,-55.8825199408546,-58.2977326146239,-56.242758434582
"BCI",244.140625,-66.2321518121073,-65.5673417255131,-66.0631593817078,-62.4483213649148
"BCI",244.140625,-54.9860458573871,-54.249192113961,-57.5991934091762,-56.4153324212396
"BCI",244.140625,-50.525060418383,-52.5702410745538,-53.1742794540138,-54.3333394534515
"BCI",244.140625,-29.8764615264119,-28.831599190244,-32.6225777820394,-33.9697590511531
"BCI",244.140625,-64.2940245491766,-62.7266750920414,-65.3410796951327,-63.4171845767588
"BCI",244.140625,-63.3555309702732,-65.2051563049914,-80.9827111367215,-79.05482523098
"BCI",244.140625,-70.4959241292734,-71.4147895602901,-75.5597263330042,-73.6699894902889
"BCI",244.140625,-56.3756424794229,-62.6268893296943,-66.2622509938216,-66.7428141127084
"BCI",244.140625,-48.3384041896294,-52.3597010562291,-55.9600606965873,-54.1571607613385
"BCI",244.140625,-73.4531273316333,-69.8983507196562,-75.5419068648162,-72.6557307866302
"BCI",244.140625,-67.2612771520572,-65.3257658013807,-75.0620068919625,-73.785613421814
"BCI",122.0703125,-34.9619631425626,-33.6192560801855,-36.3707303595346,-37.0805419849369
"BCI",122.0703125,-28.4631610767327,-27.7227100827922,-29.3489395042387,-28.5435806976767
"BCI",122.0703125,-42.545559039375,-41.6801722694009,-42.0305826332307,-39.7957293938783
"BCI",122.0703125,-36.8196046955322,-36.134606393598,-44.5443608338744,-45.6882970771204
"BCI",122.0703125,-28.7741944111295,-28.8023881138412,-27.8670476458292,-25.3322367633685
"BCI",122.0703125,-33.3734477575465,-37.399402459764,-33.9987362321993,-33.3018465326959
"BCI",122.0703125,-15.136423164051,-15.0846859372568,-15.136423164051,-15.0846859372568
"BCI",122.0703125,-19.9883337384876,-20.21871511308,-20.4681546734394,-19.0916642208969
"BCI",122.0703125,-39.9920021279785,-42.713434597068,-38.5750436069748,-36.2842937925146
"BCI",122.0703125,-30.5162291485887,-32.1973561332582,-29.5317961150231,-30.5724338121609
"BCI",122.0703125,-52.8901200216188,-53.0993184553335,-52.8647457335905,-50.1567099496919
"BCI",122.0703125,-37.0325769842018,-39.5489210148143,-33.8997862047624,-29.2119300972008
"BCI",122.0703125,-19.5443198560585,-20.3356540286253,-22.7323381339295,-22.4299289296917
"BCI",122.0703125,-30.0151532476307,-30.2285419545421,-30.4263150437061,-29.7399263842733
"BCI",122.0703125,-37.6391627198505,-38.4895474298425,-35.7751512567066,-34.2085545346062
"BCI",122.0703125,-26.6864897459336,-27.4759500023686,-24.7904231766537,-25.7781657643498
"BCI",122.0703125,-44.9000098105201,-49.481365783516,-45.8206879289909,-45.3680368572256
"BCI",122.0703125,-28.7489798622337,-29.7861757262808,-28.6052114881494,-30.1689943675339
"BCI",122.0703125,-29.358702522607,-28.6757749071991,-28.5151365503627,-27.3719194536634
"BCI",122.0703125,-25.6399116462721,-26.6171851352085,-24.2150590317502,-24.1812707674294
"BCI",122.0703125,-25.0963183534245,-24.4364482219566,-22.6217453707094,-21.8648995450136
"BCI",122.0703125,-41.1595822994431,-41.6826853768041,-41.0390755277744,-38.7929899435827
"BCI",122.0703125,-42.36507206684,-47.5670880981898,-41.1875008033166,-40.1111802165264
"BCI",122.0703125,-33.1864259611568,-32.5229540849908,-30.9104531294273,-28.6283563831817
"BCI",122.0703125,-31.2675568804708,-33.6730817841586,-28.3669729614606,-29.1120867053673
"BCI",122.0703125,-45.337588313534,-54.3194723843755,-56.7435525104919,-56.7676271756301
"BCI",122.0703125,-31.2679094904326,-30.2023839601735,-32.1252578558207,-32.0300383893399
"BCI",122.0703125,-25.3964229458748,-25.6174728641922,-23.2649762768222,-22.4308818809351
"BCI",122.0703125,-29.7347283911219,-29.0269154946806,-27.8026628788969,-26.0481795313961
"BCI",122.0703125,-46.6941986520205,-49.5844339615781,-44.1014659350381,-42.3907450814753
"BCI",122.0703125,-32.7977857491779,-33.8576906326185,-30.0435461656063,-27.8026027974729
"BCI",122.0703125,-30.0726915000051,-30.9905843987885,-27.543434798485,-26.57051802188
"BCI",61.03515625,-20.0661719261145,-21.0361755801119,-17.5624007094008,-17.6267259435158
"BCI",61.03515625,-17.6683815148491,-17.7033716424462,-18.8249442176777,-18.9775591317551
"BCI",61.03515625,-10.9080237010277,-11.530058755234,-10.5581925964512,-11.0781518002621
"BCI",61.03515625,-20.3895122989608,-21.3209229403156,-19.6086864556423,-19.6843803677957
"BCI",61.03515625,-7.72096149422766,-8.16469497276583,-8.51581255103606,-8.1856331858894
"BCI",61.03515625,-12.6240508965521,-12.8784329746483,-8.47497756385205,-9.11765232661654
"BCI",61.03515625,-23.0133783984454,-23.1774273416841,-18.9191606155662,-17.5568838431236
"BCI",61.03515625,-14.3961212095408,-13.5847917155281,-12.6125338602556,-12.0238759019169
"BCI",61.03515625,-5.52461809983781,-5.7406104339558,-5.23693602738602,-4.99980464894798
"BCI",61.03515625,-12.4960195540506,-12.9525461733119,-12.4324251684627,-12.0307551527468
"BCI",61.03515625,-25.2141013890808,-24.9078602681498,-25.3476327817054,-25.0872109073109
"BCI",61.03515625,-18.3215074224637,-20.738174962458,-14.4961904666671,-15.5902236254593
"BCI",61.03515625,-9.85591502607926,-10.5927351075004,-10.1676979664009,-9.45775736656475
"BCI",61.03515625,-18.4194791095696,-18.0827860900335,-18.4793117310654,-18.4983106183538
"BCI",61.03515625,-23.9324086347033,-23.7583186654065,-23.1360091375256,-22.6488421251613
"BCI",61.03515625,-12.5149968149621,-12.8161797834325,-9.79362276460372,-10.0406541597239
"BCI",61.03515625,-16.4534430745246,-16.7303018566806,-16.3081228028205,-16.6008874057741
"BCI",61.03515625,-22.092934834244,-23.4025325355663,-21.0582796901255,-19.9615369026388
"BCI",61.03515625,-18.3111512805251,-17.1131026906425,-16.915316385202,-17.2003004347619
"BCI",61.03515625,-12.735374289221,-18.2344989886447,-12.2884028225595,-11.3513549226131
"BCI",61.03515625,-12.7992284463254,-12.2351436517012,-13.2692320755712,-13.2896554098225
"BCI",61.03515625,-9.04162226394459,-8.64934612691693,-9.86504541589124,-9.2475133774826
"BCI",61.03515625,-14.7567644438266,-13.7769435219668,-12.3786059874964,-12.6051533344551
"BCI",61.03515625,-7.63407753784028,-7.61171511210317,-8.66962857904329,-8.27226305574742
"BCI",61.03515625,-18.7248627425353,-19.325197594351,-19.0042984610851,-19.0427710861917
"BCI",61.03515625,-3.62685951057124,-4.58044770632464,-3.62685951057124,-4.58044770632464
"BCI",61.03515625,-14.3545744338486,-14.9945589013532,-14.0668923613968,-14.1711607549024
"BCI",61.03515625,-26.9792274309312,-26.2848437971503,-24.6709675864157,-22.9769765612982
"BCI",61.03515625,-14.1578861274234,-15.4649512454557,-10.1143912041333,-10.1385494564528
"BCI",61.03515625,-19.1373514006915,-18.6100177348237,-18.9709361082843,-19.2037767338646
"BCI",61.03515625,-20.7992639547039,-22.5223228388593,-21.9701282649428,-21.6072615018202
"BCI",61.03515625,-10.5581925964512,-11.0781518002621,-9.32930433639637,-9.48209558397063
"BCI",30.517578125,-10.6868628246318,-10.9318915046683,-9.61698640884816,-10.3148450410243
"BCI",30.517578125,-0.00116678550759043,-1.38976107517379,-3.17798314195709,-3.28682706284901
